Created Date,Closed Date,Location Type,Incident Zip,City,Borough,Latitude,Longitude
12/31/15 0:55,12/31/15 1:54,Residential Building/House,11691,FAR ROCKAWAY,QUEENS,40.59425326,-73.75121009
12/31/15 0:56,12/31/15 5:21,Store/Commercial,10036,NEW YORK,MANHATTAN,40.76058323,-73.98592204
12/31/15 0:56,12/31/15 5:41,Residential Building/House,10455,BRONX,BRONX,40.81927919,-73.91522291
12/31/15 0:58,12/31/15 2:45,Residential Building/House,10033,NEW YORK,MANHATTAN,40.84582817,-73.93544033
12/31/15 0:58,12/31/15 8:32,Residential Building/House,10453,BRONX,BRONX,40.85051999,-73.91973389
12/31/15 0:58,12/31/15 2:58,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
12/31/15 1:00,12/31/15 1:07,Store/Commercial,10024,NEW YORK,MANHATTAN,40.78536042,-73.97298193
12/31/15 1:00,12/31/15 2:58,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
12/31/15 1:00,12/31/15 3:49,Store/Commercial,10034,NEW YORK,MANHATTAN,40.86589301,-73.92796579
12/31/15 1:02,12/31/15 1:34,Residential Building/House,10009,NEW YORK,MANHATTAN,40.7324096,-73.97657192
12/31/15 1:03,12/31/15 2:18,Club/Bar/Restaurant,11375,FOREST HILLS,QUEENS,40.7195082,-73.84250335
12/31/15 1:04,12/31/15 2:05,Residential Building/House,10011,NEW YORK,MANHATTAN,40.7442226,-74.00358719
12/31/15 1:04,12/31/15 6:25,Store/Commercial,11372,JACKSON HEIGHTS,QUEENS,40.7555836,-73.88520105
12/31/15 1:04,12/31/15 3:49,Store/Commercial,10040,NEW YORK,MANHATTAN,40.85932419,-73.93123734
12/31/15 1:07,12/31/15 10:23,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66358162,-73.93378564
12/31/15 1:09,12/31/15 2:59,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
12/31/15 1:11,12/31/15 4:13,Store/Commercial,11238,BROOKLYN,BROOKLYN,40.67218121,-73.95743278
12/31/15 1:12,12/31/15 1:32,Residential Building/House,10032,NEW YORK,MANHATTAN,40.83004667,-73.94169977
12/31/15 1:13,12/31/15 17:59,Store/Commercial,10016,NEW YORK,MANHATTAN,40.74729659,-73.97404398
12/31/15 1:15,12/31/15 1:40,Residential Building/House,10026,NEW YORK,MANHATTAN,40.79931101,-73.95311841
12/31/15 1:16,12/31/15 3:27,Residential Building/House,10033,NEW YORK,MANHATTAN,40.84689342,-73.9359923
12/31/15 1:16,12/31/15 2:19,Residential Building/House,10459,BRONX,BRONX,40.83087204,-73.8884462
12/31/15 1:17,12/31/15 3:41,Residential Building/House,11237,BROOKLYN,BROOKLYN,40.70129774,-73.92103158
12/31/15 1:18,12/31/15 2:59,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
12/31/15 1:19,12/31/15 4:51,Residential Building/House,11221,BROOKLYN,BROOKLYN,40.69057735,-73.93059281
12/31/15 1:19,12/31/15 5:26,Residential Building/House,11385,RIDGEWOOD,QUEENS,40.69961626,-73.90109
12/31/15 1:19,12/31/15 3:49,Street/Sidewalk,10034,NEW YORK,MANHATTAN,40.86688219,-73.92536517
12/31/15 1:20,12/31/15 1:39,Residential Building/House,10009,NEW YORK,MANHATTAN,40.7324096,-73.97657192
12/31/15 1:22,12/31/15 6:32,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.66785694,-73.93199346
12/31/15 1:22,12/31/15 1:39,Club/Bar/Restaurant,10001,NEW YORK,MANHATTAN,40.7498823,-74.00258415
